# z (m), SS (bulk), SS (film), CDNC (bulk) (cm-3), CDNC (film) (cm-3)
62.0000,0.0567,0.0511,76.4001,107.2686
62.2000,0.0566,0.0510,76.3985,107.2665
62.4000,0.0565,0.0509,76.3970,107.2643
62.6000,0.0564,0.0508,76.3954,107.2622
62.8000,0.0563,0.0507,76.3939,107.2600
63.0000,0.0562,0.0507,76.3924,107.2578
63.2000,0.0561,0.0506,76.3908,107.2557
63.4000,0.0560,0.0505,76.3893,107.2535
63.6000,0.0560,0.0504,76.3878,107.2514
63.8000,0.0559,0.0504,76.3862,107.2492
64.0000,0.0558,0.0503,76.3847,107.2470
64.2000,0.0557,0.0502,76.3831,107.2449
64.4000,0.0556,0.0501,76.3816,107.2427
64.6000,0.0555,0.0501,76.3801,107.2406
64.8000,0.0554,0.0500,76.3785,107.2384
65.0000,0.0554,0.0499,76.3770,107.2362
65.2000,0.0553,0.0498,76.3754,107.2341
65.4000,0.0552,0.0498,76.3739,107.2319
65.6000,0.0551,0.0497,76.3724,107.2298
65.8000,0.0550,0.0496,76.3708,107.2276
66.0000,0.0550,0.0495,76.3693,107.2254
66.2000,0.0549,0.0495,76.3678,107.2233
66.4000,0.0548,0.0494,76.3662,107.2211
66.6000,0.0547,0.0493,76.3647,107.2190
66.8000,0.0546,0.0492,76.3631,107.2168
67.0000,0.0546,0.0492,76.3616,107.2146
67.2000,0.0545,0.0491,76.3601,107.2125
67.4000,0.0544,0.0490,76.3585,107.2103
67.6000,0.0543,0.0490,76.3570,107.2082
67.8000,0.0543,0.0489,76.3554,107.2060
68.0000,0.0542,0.0488,76.3539,107.2038
68.2000,0.0541,0.0488,76.3524,107.2017
68.4000,0.0540,0.0487,76.3508,107.1995
68.6000,0.0539,0.0486,76.3493,107.1974
68.8000,0.0539,0.0486,76.3478,107.1952
69.0000,0.0538,0.0485,76.3462,107.1930
69.2000,0.0537,0.0484,76.3447,107.1909
69.4000,0.0537,0.0484,76.3431,107.1887
69.6000,0.0536,0.0483,76.3416,107.1866
69.8000,0.0535,0.0482,76.3401,107.1844
70.0000,0.0534,0.0482,76.3385,107.1823
70.2000,0.0534,0.0481,76.3370,107.1801
70.4000,0.0533,0.0480,76.3355,107.1779
70.6000,0.0532,0.0480,76.3339,107.1758
70.8000,0.0532,0.0479,76.3324,107.1736
71.0000,0.0531,0.0478,76.3308,107.1715
71.2000,0.0530,0.0478,76.3293,107.1693
71.4000,0.0529,0.0477,76.3278,107.1671
71.6000,0.0529,0.0477,76.3262,107.1650
71.8000,0.0528,0.0476,76.3247,107.1628
72.0000,0.0527,0.0475,76.3232,107.1607
72.2000,0.0527,0.0475,76.3216,107.1585
72.4000,0.0526,0.0474,76.3201,107.1564
72.6000,0.0525,0.0474,76.3185,107.1542
72.8000,0.0525,0.0473,76.3170,107.1520
73.0000,0.0524,0.0472,76.3155,107.1499
73.2000,0.0523,0.0472,76.3139,107.1477
73.4000,0.0523,0.0471,76.3124,107.1456
73.6000,0.0522,0.0471,76.3109,107.1434
73.8000,0.0521,0.0470,76.3093,107.1412
74.0000,0.0521,0.0469,76.3078,107.1391
74.2000,0.0520,0.0469,76.3062,107.1369
74.4000,0.0520,0.0468,76.3047,107.1348
74.6000,0.0519,0.0468,76.3032,107.1326
74.8000,0.0518,0.0467,76.3016,107.1305
75.0000,0.0518,0.0467,76.3001,107.1283
75.2000,0.0517,0.0466,76.2986,107.1261
75.4000,0.0516,0.0465,76.2970,107.1240
75.6000,0.0516,0.0465,76.2955,107.1218
75.8000,0.0515,0.0464,76.2940,107.1197
76.0000,0.0515,0.0464,76.2924,107.1175
76.2000,0.0514,0.0463,76.2909,107.1154
76.4000,0.0513,0.0463,76.2893,107.1132
76.6000,0.0513,0.0462,76.2878,107.1110
76.8000,0.0512,0.0462,76.2863,107.1089
77.0000,0.0511,0.0461,76.2847,107.1067
77.2000,0.0511,0.0461,76.2832,107.1046
77.4000,0.0510,0.0460,76.2817,107.1024
77.6000,0.0510,0.0459,76.2801,107.1003
77.8000,0.0509,0.0459,76.2786,107.0981
78.0000,0.0509,0.0458,76.2771,107.0959
78.2000,0.0508,0.0458,76.2755,107.0938
78.4000,0.0507,0.0457,76.2740,107.0916
78.6000,0.0507,0.0457,76.2724,107.0895
78.8000,0.0506,0.0456,76.2709,107.0873
79.0000,0.0506,0.0456,76.2694,107.0852
79.2000,0.0505,0.0455,76.2678,107.0830
79.4000,0.0505,0.0455,76.2663,107.0808
79.6000,0.0504,0.0454,76.2648,107.0787
79.8000,0.0503,0.0454,76.2632,107.0765
80.0000,0.0503,0.0453,76.2617,107.0744
80.2000,0.0502,0.0453,76.2602,107.0722
80.4000,0.0502,0.0452,76.2586,107.0701
80.6000,0.0501,0.0452,76.2571,107.0679
80.8000,0.0501,0.0451,76.2555,107.0658
81.0000,0.0500,0.0451,76.2540,107.0636
81.2000,0.0500,0.0450,76.2525,107.0614
81.4000,0.0499,0.0450,76.2509,107.0593
81.6000,0.0498,0.0449,76.2494,107.0571
81.8000,0.0498,0.0449,76.2479,107.0550
82.0000,0.0497,0.0448,76.2463,107.0528
82.2000,0.0497,0.0448,76.2448,107.0507
82.4000,0.0496,0.0447,76.2433,107.0485
82.6000,0.0496,0.0447,76.2417,107.0463
82.8000,0.0495,0.0446,76.2402,107.0442
83.0000,0.0495,0.0446,76.2387,107.0420
83.2000,0.0494,0.0446,76.2371,107.0399
83.4000,0.0494,0.0445,76.2356,107.0377
83.6000,0.0493,0.0445,76.2340,107.0356
83.8000,0.0493,0.0444,76.2325,107.0334
84.0000,0.0492,0.0444,76.2310,107.0313
84.2000,0.0492,0.0443,76.2294,107.0291
84.4000,0.0491,0.0443,76.2279,107.0269
84.6000,0.0491,0.0442,76.2264,107.0248
84.8000,0.0490,0.0442,76.2248,107.0226
85.0000,0.0490,0.0441,76.2233,107.0205
85.2000,0.0489,0.0441,76.2218,107.0183
